index,entity,disambig_term,text,wikipedia_link
"1","baltic","Baltic","Lithuania is trying to reform them DIG into the political undergrowth anywhere between the Baltic and the Black Seas and you soon find curious connections between state-owned enterprises, officials and politicians.","https://en.wikipedia.org/wiki/Baltic_Sea"
"2","phobos","Phobos","b'Buzz Aldrin reveals that there is a monolith on Phobos, a moon of Mars.  '","https://en.wikipedia.org/wiki/Phobos_(moon)"
"3","goldberg","Goldberg","Goldberg himself has never, as far as I can tell, acknowledged that he may have been mistaken in some of his earlier assessments, or questioned his own reporting.","https://en.wikipedia.org/wiki/Goldberg_(surname)"
"4","defiant","Defiant","They decide to use the Defiant to reassemble the neural and physical patterns of the five victims.",""
"5","sullivan","Sullivan","b'Andrew Sullivan Live-Blogging the Crisis in Iran'","https://en.wikipedia.org/wiki/O'Sullivan"
"6","eighth","Eighth","Ashwin scored 58 and added 64 for the eighth wicket with Yadav (35) after England off-spinner Moeen had claimed three quick wickets to peg back the hosts.","https://en.wikipedia.org/wiki/8"
"7","lmc","LMC","LMC button works perfectly except for one little flaw",""
"8","catalan","Catalan","Are there any errors that native Catalan speakers tend to make when speaking or writing Spanish/Castilian?","https://en.wikipedia.org/wiki/Catalan_language"
"9","hugo","Hugo","Use to rope off bodies or water in or near your home or public areasString lights along driveways and walk ways for parties and holidaysMade of heavy duty wire with a baked on powder coat finish100% made in Hugo MN including material and laborPack of 10","https://en.wikipedia.org/wiki/Hugo,_Minnesota"
"10","chesapeake","Chesapeake","While in Maryland delegates had the chance to join an impressive range of field experiences with school kids testing river pollution levels and relating the findings to surrounding land use, identifying wildlife and plant species in the Chesapeake bay ecosystem and conducting experiments to learn about the importance of oysters for water quality.","https://en.wikipedia.org/wiki/Chesapeake_Bay"
"11","execute","Execute","There is a work around where I can still call Execute(), print out my answer and listen to StandardOut, but then it comes out as a string","https://en.wikipedia.org/wiki/Execution_(computing)"
"12","block","Block","There are small food stores, drugstores and a laundromat within a few block radius.","https://en.wikipedia.org/wiki/City_block"
"13","rps","RPS","Turns out adding ApcCache driver and setting it to metadata cache only improves the RPS to 16.","https://en.wikipedia.org/wiki/Web_server#requests_per_second"
"14","m4","M4","The .m4 gets processed by the M4 utility into .pc (Pro*C files), which then get converted into .C files by the Oracle ProC utility.","https://en.wikipedia.org/wiki/m4_(computer_language)"
"15","collar","Collar","Integrated Motion Sensor Technology allows the Collar to conserve battery life when your dog is not moving.","https://en.wikipedia.org/wiki/Collar_(animal)"
"16","imi","IMI","Which mba college among IMI, New Delhi and Gim ,Goa is better in terms of return on investment and overall brand value?","https://en.wikipedia.org/wiki/International_Management_Institute,_New_Delhi"
"17","opening","Opening","As our stay was at the end of Ramadan we had the restaurant and bar services explained to us as well as a letter detailing the opening hours of each one.",""
"18","atv","ATV","Dr. Hagedorn and colleagues performed a retrospective review of records from 1992 to 2013 for patients between 0 and 18 years old who underwent chest imaging at Memorial Hermann Red Duke Trauma Institute, a level 1 trauma center in Houston, after ATV-related incidents.","https://en.wikipedia.org/wiki/All-terrain_vehicle"
"19","lexington","Lexington","Lexington, KY 40511, @2231 Houston Antioch Road Lexington, KY 40516, @1801 Alexandria Drive Lexington, KY 40504, @1396 Pinckard Pike Versailles, KY 40383, @1371 Beverly Lane Nicholasville, KY 40356, @6483 Old Richmond Road Lexington,","https://en.wikipedia.org/wiki/Lexington,_Kentucky"
"20","discount","Discount","I can get some properties of Discount using projections and the query will be much smaller.","https://en.wikipedia.org/wiki/Discounts_and_allowances"
"21","bip","BIP","Currently I am able to create only doc file because creating docx is not supported in BIP.",""
"22","coalesce","Coalesce","<p>I have seeen some examples of what I am trying to do using COALESCE and FOR XML (seems like the better solution).","https://en.wikipedia.org/wiki/Null_(SQL)#COALESCE"
"23","somatic","Somatic","somatic (skeletal) and autonomic (smooth muscle, cardiac muscle, and glands).","https://en.wikipedia.org/wiki/Somatic_(biology)"
"24","nenets","Nenets","The reindeer were semi-domesticated, traveling in herds with the nomadic Nenets, an indigenous group that regularly takes their reindeer over 700 miles from summer grazing grounds to winter pastures.","https://en.wikipedia.org/wiki/Nenets_people"
"25","platform","Platform","The Platform is Visual Studio 2005 Team Edition and the Target Application is Excel 2003 and the Add-in is a Shared Add-in.","https://en.wikipedia.org/wiki/Computing_platform"
"26","scale","Scale","Storm would be a 15 on a 1-10 scale.","https://en.wikipedia.org/wiki/Scale_model"
"27","ann","ANN","Answer by Nara-ann.",""
"28","leave","Leave","The instruction LEAVE trig",""
"29","sandy","Sandy","Sandy coating keeps bird feet and nails healthyProtect exotic birds from the harmful effects of air conditioning and cold draftsThermostatically controlled to an optimum body temperatureMade of sturdy scratch and bite resistant non-toxic plastic",""
"30","wi","WI","Noha Emara (Egypt), Fulbright Arabic Teaching Assistant, University of Wisconsin, Stevens Point, UWSP, WI, USA, 2016â€“2017.","https://en.wikipedia.org/wiki/Wisconsin"
"31","madhavan","Madhavan","Madhavan, a toddy tapper, moved to Kunjithanni in Idukki in 1957","https://en.wikipedia.org/wiki/Madhavan"
"32","nao","NAO","The NAO's system is pretty limited.","https://en.wikipedia.org/wiki/Nao_(robot)"
"33","coles","Coles","Coles, Andrew.","https://en.wikipedia.org/wiki/Coles_(surname)"
"34","jan","Jan","my boyfriend and i visited dubai on 6 jan for 4 nights hotel was more than ok for our needs.","https://en.wikipedia.org/wiki/January"
"35","offset","Offset","<p>I am implementing ranking solution for one of my tables to optimize read queries to get rid of expensive queries which use COUNT(*), LIMIT and OFFSET clause.","https://en.wikipedia.org/wiki/Offset_(computer_science)"
"36","the fall","The Fall","During the fall of Saddam in 2003, two Kurds are looking for the parents of an Arab boy named Saddam.",""
"37","roanoke","Roanoke","What do you think happened to the colonists of Roanoke?","https://en.wikipedia.org/wiki/Roanoke_people"
"38","harper","Harper","Who is Harper seven beckham?","https://en.wikipedia.org/wiki/Harper_(name)"
"39","forwarding","Forwarding","<p>I heard some where that it's possible with Forwarding ports on DNS using static IP address or something like that.","https://en.wikipedia.org/wiki/Port_forwarding"
"40","anf","ANF","Among these patients 35 (83%) developed a significantly increased titer of ANF and of these, 12 patients (29%) developed a classical drug-induced SLE syndrome.","https://en.wikipedia.org/wiki/Anti-nuclear_antibody"
"41","fortune","Fortune","The application I am building will specifically target enterprise (Fortune 500) BlackBerries.","https://en.wikipedia.org/wiki/Fortune_(magazine)"
"42","dine","Dine","Dine and entertain with the Mill Valley 7-Piece",""
"43","hl","HL","On the summit of Jettenb hl (195 m/640 ft), which dominates the eastern portion of the city, is Heidelberg Castle (mainly 14th-17th century), one of the most impressive historic landmarks of Germany.",""
"44","long","Long","Long said he used tobacco because it is easy to manipulate the genetics, but there is no reason it can't work with rice, corn and other seed-oriented foods.","https://en.wikipedia.org/wiki/Long_(surname)"
"45","weibo","Weibo","China deletes Weibo account of critic of President Xi Jinping","https://en.wikipedia.org/wiki/Weibo_(company)"
"46","web","Web","My codeigniter app will be placed on a server in WEB directory:","https://en.wikipedia.org/wiki/World_Wide_Web"
"47","snp","SNP","infusion in conscious rabbits of 7.5 mg/kg.h sodium nitroprusside (SNP) plus sodium thiosulfate in the molar ratios 1:5 or 1:10, respectively, for 4 h produced perilobular necroses of liver cells.","https://en.wikipedia.org/wiki/Sodium_nitroprusside"
"48","nra","NRA","The second field gives a percentage (% NRA) by dividing the total square feet by the sq ft.",""
"49","npc","NPC","I've made a tiny mod to tweak the NPC ai packages based on the info in that thread, and I've uploaded it to the nexus in case anyone else has a need for it:","https://en.wikipedia.org/wiki/Non-player_character"
"50","escort","Escort","Where can you find Escort agencies las Vegas?","https://en.wikipedia.org/wiki/Escort_agency"
"51","drone","Drone","Willie replies 6:30; Kevin wants it delayed until 8:00 and the drone test reprogrammed.","https://en.wikipedia.org/wiki/Unmanned_aerial_vehicle"
"52","brew","Brew","Brew and Blend at the touch of a button with a 3 minute cycle20 oz.",""
"53","anderson","Anderson","If I want to know the age of the oldest person with the last name Anderson, I can select MAX(Age) and GROUP BY Lastname.","https://en.wikipedia.org/wiki/Anderson_(surname)"
"54","red state","Red State","Who should Republicans that hate Trump and live in a Red State vote for?","https://en.wikipedia.org/wiki/Red_states_and_blue_states"
"55","williamsburg","Williamsburg","Using the nutrition concepts that evolved from the 1972 Williamsburg Conference encompassing the science and the sociology of nutrition, the author offers a proposal for action-a sequential nutrition curriculum design for years, I, II, and III of undergraduate medical education based on the experiences of the Nutrition Division, Department of Community Medicine, Mount Sinai School of Medicine-City University of New York.","https://en.wikipedia.org/wiki/Williamsburg,_Virginia"
"56","pill","Pill","When I came off the SSRIs and went on Wellbutrin it was like I came out of the fog after seven years of SSRIs, I have to take a 150mg pill three times a day.","https://en.wikipedia.org/wiki/Tablet_(pharmacy)"
"57","minoan","Minoan","What are the most important historical sources for the Minoan and Mycenaean civilizations?","https://en.wikipedia.org/wiki/Minoan_civilization"
"58","ncr","NCR","Which is the best basketball academy for kids in Delhi NCR?","https://en.wikipedia.org/wiki/National_Capital_Region_(India)"
"59","suse","Suse","How do I upgrade PHP 5.1 to 5.2 from the SUSE 10.1 command line?","https://en.wikipedia.org/wiki/SUSE_Linux"
"60","spanish","Spanish","Apparently this is the third case reported in the Spanish medical literature.","https://en.wikipedia.org/wiki/Spanish_language"
"61","collection","Collection","<p>I have a Django model called Collection that represents a collection of items (CollectionItem).",""
"62","yazdi","Yazdi","b'Ebrahim Yazdi, Irans former foreign minister, thrown in jail'","https://en.wikipedia.org/wiki/Ebrahim_Yazdi"
"63","legacy","Legacy","* or bzero(), which POSIX marks as LEGACY, and is not in standard C","https://en.wikipedia.org/wiki/Legacy_system"
"64","ione","Ione","Which is a good solar panel installation provider near Ione, California CA?","https://en.wikipedia.org/wiki/Ione,_California"
"65","grill","Grill","Grill all year long with the Infrared grilling system from LG.","https://en.wikipedia.org/wiki/Barbecue_grill"
"66","jira","Jira","<p>We are running Jira on a 4 way 32 bit RHEL box with 4 GB RAM with no problems so far.","https://en.wikipedia.org/wiki/Jira_(software)"
"67","ams","AMS","A mouse-specific macrophage antigen (MSMA) was identified in NP-40 extracts of 125I-radiolabeled mouse preitoneal macrophages by using a rabbit anti-mouse macrophage serum (AMS) and SDS-polyacrylamide gel electrophoresis.",""
"68","nano","Nano","<p>Looking through the README it doesn't look there is a way to create design docs with Nano?","https://en.wikipedia.org/wiki/GNU_nano"
"69","powder","Powder","The Powder coated finish will provide years of durability.","https://en.wikipedia.org/wiki/Powder_(substance)"
"70","jenny","Jenny","Why was Forrest's letter to Jenny returned in Forrest Hump?","https://en.wikipedia.org/wiki/Jenny_(given_name)"
"71","homebrew","Homebrew","<p>I'm running git 1.7 on Mac OSX, installed via Homebrew.","https://en.wikipedia.org/wiki/Homebrew_(package_management_software)"
"72","eco","Eco","We did the organised desert 4x4 eco drive and thoroughly enjoyed that (took child's car seat in the hotel's jeep and he had a great time too).","https://en.wikipedia.org/wiki/Ecology"
"73","jonathan","Jonathan","I tried adding Jonathan's suggested code to this","https://en.wikipedia.org/wiki/Jonathan_(name)"
"74","thunderbird","Thunderbird","e.g. used in Thunderbird? )","https://en.wikipedia.org/wiki/Mozilla_Thunderbird"
"75","wada","Wada","Why didnÃ¢Â€Â™t the WADA databases leaks show on Quora?",""
"76","cfm","CFM","The CFM can also be used as a framework for identifying gaps in knowledge about a risk.","https://en.wikipedia.org/wiki/Amplitude_integrated_electroencephalography"
"77","hershey","Hershey","Hershey's has blocked British-made Cadbury chocolate from entering the US.","https://en.wikipedia.org/wiki/The_Hershey_Company"
